# srgb_r	srgb_g	srgb_b	vlog_r	vlog_g	vlog_b
0.00000000	0.00000000	0.00000000	0.12500000	0.12500000	0.12500000
0.05000000	0.05000000	0.05000000	0.25063613	0.25063613	0.25063613
0.18000000	0.18000000	0.18000000	0.34411048	0.34411048	0.34411048
0.42000000	0.42000000	0.42000000	0.43340721	0.43340721	0.43340721
0.75000000	0.75000000	0.75000000	0.55716540	0.55716540	0.55716540
0.95000000	0.95000000	0.95000000	0.79350346	0.79350346	0.79350346
1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000
0.80000000	0.20000000	0.20000000	0.53661317	0.39537303	0.35595820
0.20000000	0.70000000	0.30000000	0.44324530	0.51659517	0.41322586
0.15000000	0.30000000	0.85000000	0.43008130	0.45406382	0.61062966
0.25000000	0.45000000	0.80000000	0.43986385	0.46942346	0.57476663
0.52000000	0.44000000	0.40000000	0.45349626	0.43774078	0.42466269
0.98000000	0.92000000	0.70000000	0.96615432	0.94154675	0.77591016
0.00800546	0.38588255	0.08252062	0.31877161	0.40441097	0.27948795
0.49790159	0.44874563	0.70542834	0.46315947	0.45616615	0.52679492
0.29778849	0.62126469	0.56090234	0.44363157	0.49315671	0.48039255
0.08984775	0.00894068	0.38228047	0.26059400	0.23251265	0.40733781
0.89695932	0.02892827	0.96149958	0.76683718	0.64839379	0.82915197
0.74520566	0.72355372	0.18370914	0.54263341	0.53676722	0.39450641
0.58713933	0.71635766	0.90907807	0.57418633	0.59987857	0.68515250
0.04118329	0.10185197	0.96980997	0.64566950	0.65666980	0.87740273
0.79609826	0.35885412	0.13499430	0.53910941	0.43578475	0.33659503
0.64690618	0.92205250	0.20893577	0.63458235	0.70063617	0.51915986
0.72707532	0.18439115	0.72372089	0.51006153	0.40855888	0.53315093
0.13974755	0.99136654	0.04885056	0.88177909	0.97920189	0.77324787
0.35753444	0.64116308	0.62121259	0.45927426	0.50265630	0.50077719
0.17065649	0.09938691	0.30359177	0.31735812	0.29096230	0.38521370
0.22020499	0.73711640	0.34088548	0.46044415	0.53409194	0.43213541
